game_id,game_date,H_A,Team_Abbrev,Team_Score,Opponent_Abbrev,Opponent_Score
202204100BRK,4/10/2022,A,IND,126,BRK,134
202204100CHO,4/10/2022,A,WAS,108,CHO,124
202204100CLE,4/10/2022,A,MIL,115,CLE,133
202204100DAL,4/10/2022,A,SAS,120,DAL,130
202204100DEN,4/10/2022,A,LAL,146,DEN,141
202204100HOU,4/10/2022,A,ATL,130,HOU,114
202204100LAC,4/10/2022,A,OKC,88,LAC,138
202204100MEM,4/10/2022,A,BOS,139,MEM,110
202204100MIN,4/10/2022,A,CHI,124,MIN,120
202204100NOP,4/10/2022,A,GSW,128,NOP,107
202204100NYK,4/10/2022,A,TOR,94,NYK,105
202204100ORL,4/10/2022,A,MIA,111,ORL,125
202204100PHI,4/10/2022,A,DET,106,PHI,118
202204100PHO,4/10/2022,A,SAC,116,PHO,109
202204100POR,4/10/2022,A,UTA,111,POR,80
202204090LAC,4/9/2022,A,SAC,98,LAC,117
202204050SAC,4/5/2022,H,SAC,109,NOP,123
202204030SAC,4/3/2022,H,SAC,90,GSW,109
202204010HOU,4/1/2022,A,SAC,122,HOU,117
202203300HOU,3/30/2022,A,SAC,121,HOU,118
202203280MIA,3/28/2022,A,SAC,100,MIA,123
202203260ORL,3/26/2022,A,SAC,114,ORL,110
202203230IND,3/23/2022,A,SAC,110,IND,109
202203200SAC,3/20/2022,H,SAC,124,PHO,127
202203180SAC,3/18/2022,H,SAC,97,BOS,126
202203160SAC,3/16/2022,H,SAC,126,MIL,135
202203140SAC,3/14/2022,H,SAC,112,CHI,103
202203120UTA,3/12/2022,A,SAC,125,UTA,134
202203090SAC,3/9/2022,H,SAC,100,DEN,106
202203070SAC,3/7/2022,H,SAC,115,NYK,131
202203050DAL,3/5/2022,A,SAC,113,DAL,114
202203030SAS,3/3/2022,A,SAC,115,SAS,112
202203020NOP,3/2/2022,A,SAC,95,NOP,125
202202280OKC,2/28/2022,A,SAC,131,OKC,110
202202260DEN,2/26/2022,A,SAC,110,DEN,115
202202240SAC,2/24/2022,H,SAC,110,DEN,128
202202140BRK,2/14/2022,A,SAC,85,BRK,109
202202120WAS,2/12/2022,A,SAC,123,WAS,110
202202090SAC,2/9/2022,H,SAC,132,MIN,119
202202080SAC,2/8/2022,H,SAC,114,MIN,134
202202050SAC,2/5/2022,H,SAC,113,OKC,103
202202030GSW,2/3/2022,A,SAC,114,GSW,126
202110200POR,10/20/2021,A,SAC,124,POR,121
202110220SAC,10/22/2021,H,SAC,101,UTA,110
202110240SAC,10/24/2021,H,SAC,107,GSW,119
202110270PHO,10/27/2021,A,SAC,110,PHO,107
202110290NOP,10/29/2021,A,SAC,113,NOP,109
202110310DAL,10/31/2021,A,SAC,99,DAL,105
202111020UTA,11/2/2021,A,SAC,113,UTA,119
202111030SAC,11/3/2021,H,SAC,112,NOP,99
202111050SAC,11/5/2021,H,SAC,140,CHO,110
202111070SAC,11/7/2021,H,SAC,91,IND,94
202111080SAC,11/8/2021,H,SAC,104,PHO,109
202111100SAS,11/10/2021,A,SAC,117,SAS,136
202111120OKC,11/12/2021,A,SAC,103,OKC,105
202111150DET,11/15/2021,A,SAC,129,DET,107
202111170MIN,11/17/2021,A,SAC,97,MIN,107
202111190SAC,11/19/2021,H,SAC,89,TOR,108
202111200SAC,11/20/2021,H,SAC,105,UTA,123
202111220SAC,11/22/2021,H,SAC,94,PHI,102
202111240SAC,11/24/2021,H,SAC,125,POR,121
202112080SAC,12/8/2021,H,SAC,142,ORL,130
202112100CHO,12/10/2021,A,SAC,123,CHO,124
202112110CLE,12/11/2021,A,SAC,103,CLE,117
202112130TOR,12/13/2021,A,SAC,101,TOR,124
202112150SAC,12/15/2021,H,SAC,119,WAS,105
202112290SAC,12/29/2021,H,SAC,95,DAL,94
202112310SAC,12/31/2021,H,SAC,96,DAL,112
202201020SAC,1/2/2022,H,SAC,115,MIA,113
202201040LAL,1/4/2022,A,SAC,114,LAL,122
202201050SAC,1/5/2022,H,SAC,102,ATL,108
202201070DEN,1/7/2022,A,SAC,111,DEN,121
202201090POR,1/9/2022,A,SAC,88,POR,103
202201100SAC,1/10/2022,H,SAC,108,CLE,109
202201120SAC,1/12/2022,H,SAC,125,LAL,116
202201140SAC,1/14/2022,H,SAC,126,HOU,114
202201160SAC,1/16/2022,H,SAC,112,HOU,118
202201190SAC,1/19/2022,H,SAC,131,DET,133
202201220MIL,1/22/2022,A,SAC,127,MIL,133
202201250BOS,1/25/2022,A,SAC,75,BOS,128
202201260ATL,1/26/2022,A,SAC,104,ATL,121
202201290PHI,1/29/2022,A,SAC,101,PHI,103
202201310NYK,1/31/2022,A,SAC,96,NYK,116
202202020SAC,2/2/2022,H,SAC,112,BRK,101
202111260LAL,11/26/2021,A,SAC,141,LAL,137
202111280MEM,11/28/2021,A,SAC,101,MEM,128
202111300SAC,11/30/2021,H,SAC,92,LAL,117
202112010LAC,12/1/2021,A,SAC,124,LAC,115
202112040SAC,12/4/2021,H,SAC,104,LAC,99
202202160CHI,2/16/2022,A,SAC,118,CHI,125
202112170SAC,12/17/2021,H,SAC,105,MEM,124
202112190SAC,12/19/2021,H,SAC,121,SAS,114
202112200GSW,12/20/2021,A,SAC,98,GSW,113
202112220SAC,12/22/2021,H,SAC,89,LAC,105
202112260SAC,12/26/2021,H,SAC,102,MEM,127
202112280SAC,12/28/2021,H,SAC,117,OKC,111
202204060LAC,4/6/2022,H,LAC,113,PHO,109
202204030LAC,4/3/2022,H,LAC,119,NOP,100
202203310CHI,3/31/2022,A,LAC,130,CHI,135
202203290LAC,3/29/2022,H,LAC,121,UTA,115
202110210GSW,10/21/2021,A,LAC,113,GSW,115
202110230LAC,10/23/2021,H,LAC,114,MEM,120
202110250LAC,10/25/2021,H,LAC,116,POR,86
202110270LAC,10/27/2021,H,LAC,79,CLE,92
202110290POR,10/29/2021,A,LAC,92,POR,111
202111010LAC,11/1/2021,H,LAC,99,OKC,94
202111030MIN,11/3/2021,A,LAC,126,MIN,115
202111050MIN,11/5/2021,A,LAC,104,MIN,84
202111070LAC,11/7/2021,H,LAC,120,CHO,106
202111090LAC,11/9/2021,H,LAC,117,POR,109
202111110LAC,11/11/2021,H,LAC,112,MIA,109
202111130LAC,11/13/2021,H,LAC,129,MIN,102
202111140LAC,11/14/2021,H,LAC,90,CHI,100
